Name,Color,Product_Category,Rating,Standard_Price_$,Sale_Price_$,Sale_%,Image
Athletic Jacket,Navy Blue,boys-clothing-jackets-coats,5.0,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6b5874a6/images/main/64365/64365_SR4_110_01.jpg?sw=369&q=90
Who Will You Be Cap,Pumpkin,accessories-baby-hats,5.0,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwaf8b6ae4/images/main/48200/48200_J86_60_01.jpg?sw=369&q=90
Peanuts Birthday Short John Pajamas,Ecru,pajamas-kids,4.5,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5fae30e6/images/main/62330/62330_76X_110_01.jpg?sw=369&q=90
Marvel Black Panther Glow-In-The-Dark Halloween Sueded Tee,Black Panther,boys-clothing-tops-shirts,4.5,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc4e565f5/images/main/62674/62674_PG2_110_01.jpg?sw=369&q=90
Baby Side Snap Bodysuit In Organic Cotton,Trek Teal,baby-girl-tops-shirts,5.0,54.0,21.99,40.72,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7be362d4/images/main/52734/52734_PW1_60_01.jpg?sw=369&q=90
Print Tee,Lookout Blue,boys-clothing-tops-shirts,4.0,44.0,21.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9782c3d7/images/main/62420/62420_77M_110_01.jpg?sw=369&q=90
Sunblock Rash Guard,Map Blue,baby-girl-swimsuits,4.0,42.0,21.0,50.0,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe6581d36/images/main/60558/60558_D47_60_01.jpg?sw=369&q=90
Who Will You Be Cap,The Bug,accessories-baby-hats,5.0,52.0,20.99,40.37,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd650608e/images/main/48200/48200_QS4_60_01.jpg?sw=369&q=90
Peanuts Birthday Short John Pajamas,Ecru,pajamas-kids,4.5,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5fae30e6/images/main/62330/62330_76X_110_01.jpg?sw=369&q=90
"One Dress, Two Dress",Positively Purple,girls-clothing-dresses,5.0,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3d56bd59/images/main/62510/62510_ST7_110_01.jpg?sw=369&q=90
Disney Princess Sweatshirt,Ariel,girls-clothes-girls-sweaters-sweatshirts,5.0,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw067df854/images/main/62350/62350_GD4_110_01.jpg?sw=369&q=90
Who Will You Be Cap,Mask-arade Grey,accessories-baby-hats,5.0,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwab60c65d/images/main/48200/48200_NA4_60_01.jpg?sw=369&q=90
Swing Dress,Happy Pink,girls-clothing-dresses,4.5,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw020a32d9/images/main/62031/62031_G43_110_01.jpg?sw=369&q=90
Bright Basics Tee In Pima Cotton,Tomato,girls-clothing-tops-shirts,5.0,42.0,20.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa281960b/images/main/46153/46153_63O_110_01.jpg?sw=369&q=90
Bright Basics Tee In Organic Cotton,Hanna White Multi,baby-girl-tops-shirts,5.0,50.0,19.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw54591b12/images/main/60561/60561_GL7_60_01.jpg?sw=369&q=90
Scooter Skirt,Navy Multi,girls-clothes-skirts-shorts,5.0,50.0,19.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5b8de763/images/main/62656/62656_A96_110_01.jpg?sw=369&q=90
Scooter Skirt,Navy Multi,girls-clothes-skirts-shorts,5.0,50.0,19.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5b8de763/images/main/62656/62656_A96_110_01.jpg?sw=369&q=90
Glow-In-The-Dark Baby Zip Sleeper In Organic Cotton,Mummy,pajamas-baby,5.0,50.0,19.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcf9d4913/images/main/43846/43846_TB1_60_01.jpg?sw=369&q=90
Swan Mask,White Swan,girls-accessories-costumes,5.0,50.0,18.99,37.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8caddc35/images/main/52641/52641_BD5_OS_01.jpg?sw=369&q=90
Disney Princess Art Tee,Rapunzel,girls-clothing-tops-shirts,5.0,50.0,18.99,37.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwfbb21232/images/main/62351/62351_GD8_110_01.jpg?sw=369&q=90
Super Soft Skater Dress,Sunshine,girls-clothing-dresses,5.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dweb86bf06/images/main/60363/60363_M07_110_01.jpg?sw=369&q=90
Double Knee Woven Pants,Navy Blue,boys-clothing-pants-shorts,4.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwba1b008f/images/main/64344/64344_SR4_110_01.jpg?sw=369&q=90
Bright Basics Bear Hoodie,Trek Teal,baby-girl-outerwear,4.5,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw117f033f/images/main/54036/54036_PW1_60_01.jpg?sw=369&q=90
Double Knee Woven Pants,Expedition Green,boys-clothing-pants-shorts,4.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw19f7e61b/images/main/64344/64344_PJ9_110_01.jpg?sw=369&q=90
Disney Princess Tutu In Soft Tulle,Jasmine,girls-clothes-skirts-shorts,4.5,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwff65cf6c/images/main/62358/62358_GD7_110_01.jpg?sw=369&q=90
Disney Princess Print Leggings,Ariel,girls-clothing-pants-leggings-shorts,5.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc865b320/images/main/62355/62355_GD4_110_01.jpg?sw=369&q=90
Baby Bodysuit In Organic Cotton,Hanna White,baby-girl-tops-shirts,5.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1d81f1c7/images/main/65015/65015_GK3_60_01.jpg?sw=369&q=90
Marvel The Hulk Sweatshirt,Hulk,boys-clothing-tops-shirts,5.0,48.0,18.99,39.56,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw8176b775/images/main/62342/62342_PG1_110_01.jpg?sw=369&q=90
Disney Princess Tutu In Soft Tulle,Ariel,girls-clothes-skirts-shorts,4.5,38.0,18.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcfe5cc91/images/main/62358/62358_GD4_110_01.jpg?sw=369&q=90
Short John Pajamas In Organic Cotton,Apple,pajamas-kids,5.0,38.0,18.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5c66bbbc/images/main/64397/64397_QQ9_110_01.jpg?sw=369&q=90
Disney Princess Art Tee,Jasmine,girls-clothing-tops-shirts,5.0,38.0,18.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwe32db521/images/main/62351/62351_GD7_110_01.jpg?sw=369&q=90
Marvel Captain America Long John Pajamas,Captain America,pajamas-baby,4.5,38.0,18.99,49.97,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2b2c866e/images/main/62325/62325_PF8_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Monster,pajamas-kids,5.0,46.0,17.99,39.11,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw08a2a06a/images/main/51573/51573_54Q_110_01.jpg?sw=369&q=90
